Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
February-2007,1300.00,1350.00,1170.00,1188.45,11789065,120132,15110366665.00,9713783,82.40,180.00,-111.55
March-2007,1200.00,1320.00,1129.85,1231.20,5703576,197300,7052855390.00,2506881,43.95,190.15,31.20
April-2007,1223.00,1330.00,1171.10,1265.70,7912825,191302,9717528930.00,4734403,59.83,158.90,42.70
May-2007,1275.00,1299.50,1205.00,1208.60,5145095,119772,6439599618.00,3162621,61.47,94.50,-66.40
June-2007,1220.00,1244.00,1118.20,1149.25,8294726,129136,9571785610.00,6526142,78.68,125.80,-70.75
July-2007,1152.00,1200.00,1100.70,1158.45,5589842,152565,6458581469.00,3078083,55.07,99.30,6.45
August-2007,1145.00,1188.40,998.00,1065.00,5316455,170450,5767297677.00,2721566,51.19,190.40,-80.00
September-2007,1071.00,1086.90,978.00,1056.75,6071024,145327,6251043855.00,3739885,61.60,108.90,-14.25
October-2007,1060.00,1151.00,1000.00,1037.90,9233756,178475,9910718383.00,5708183,61.82,151.00,-22.10
November-2007,1065.00,1065.00,935.00,1013.95,4331622,116642,4298818430.00,2483237,57.33,130.00,-51.05
December-2007,1015.00,1124.95,1002.20,1083.35,4825410,75479,5081869467.00,3243423,67.22,122.75,68.35
January-2008,1065.10,1078.00,730.00,875.25,3767470,124675,3489931708.00,2047076,54.34,348.00,-189.85
February-2008,882.00,987.00,821.15,874.30,3630691,101134,3272191605.00,1818360,50.08,165.85,-7.70
March-2008,869.50,899.00,755.00,810.90,3263125,87320,2735718110.00,1534738,47.03,144.00,-58.60
April-2008,815.00,1038.70,811.00,919.55,5825904,183879,5357818607.00,2144142,36.80,227.70,104.55
May-2008,930.00,1047.95,874.90,1029.25,8617359,199011,8322199800.00,3630466,42.13,173.05,99.25
June-2008,1028.00,1054.00,800.00,858.80,6852111,148387,6245920835.00,3363542,49.09,254.00,-169.20
July-2008,858.80,890.00,719.10,832.55,7244532,222069,5853957205.00,2693460,37.18,170.90,-26.25
August-2008,829.00,870.00,782.50,812.45,3981085,123631,3312974143.00,1312095,32.96,87.50,-16.55
September-2008,810.00,875.00,575.00,662.75,5566647,157389,4156181125.00,2285584,41.06,300.00,-147.25
October-2008,670.00,682.80,418.00,537.45,11072453,282089,5960064529.00,3975706,35.91,264.80,-132.55
November-2008,560.00,570.00,456.10,558.05,8026824,243983,4138118924.00,1684262,20.98,113.90,-1.95
December-2008,569.00,591.70,460.00,478.10,8023516,233395,4099407519.00,2228394,27.77,131.70,-90.90
January-2009,485.00,556.90,466.20,511.95,7870045,190437,4012034946.00,2411144,30.64,90.70,26.95
February-2009,507.00,526.80,456.00,480.60,4065255,110698,2019913721.00,1207859,29.71,70.80,-26.40
March-2009,475.00,585.00,439.15,540.00,5043939,135358,2561761661.00,1280688,25.39,145.85,65.00
April-2009,505.25,627.20,505.25,623.20,6718394,161202,3885723552.00,2233127,33.24,121.95,117.95
May-2009,600.00,794.70,600.00,699.75,7272937,179199,4713758539.00,2201032,30.26,194.70,99.75
June-2009,680.00,805.00,355.25,389.70,9524223,193318,5262972950.00,3841484,40.33,449.75,-290.30
July-2009,380.00,540.10,368.00,526.40,19098752,293235,8889993819.00,7174263,37.56,172.10,146.40
August-2009,527.00,559.90,435.55,527.00,12847919,206866,6791323382.00,4513699,35.13,124.35,0.00
September-2009,534.00,621.90,519.00,619.35,12155061,172527,6845647335.00,4968435,40.88,102.90,85.35
October-2009,620.00,656.85,556.60,626.20,11336495,195951,6932553328.00,4788200,42.24,100.25,6.20
November-2009,625.00,711.40,602.25,687.20,7145393,137803,4709170627.00,2944377,41.21,109.15,62.20
December-2009,696.00,755.95,677.35,749.75,5383776,108171,3852008105.00,2160683,40.13,78.60,53.75
January-2010,750.70,816.40,696.60,735.45,8441864,179482,6421688095.00,2892210,34.26,119.80,-15.25
February-2010,735.45,777.00,709.60,761.00,3454091,87803,2575116532.00,1039434,30.09,67.40,25.55
March-2010,763.10,844.00,755.85,780.80,5917109,111507,4692600993.00,3068326,51.86,88.15,17.70
April-2010,786.90,834.90,730.00,766.00,6482257,150810,5180778271.00,2205749,34.03,104.90,-20.90
May-2010,756.00,777.00,692.00,742.00,4366667,107798,3250226610.00,1868816,42.80,85.00,-14.00
June-2010,742.00,797.45,732.90,751.15,3263975,83362,2497462035.00,1342999,41.15,64.55,9.15
July-2010,748.00,858.90,725.50,841.10,7957621,148570,6489517158.00,4366541,54.87,133.40,93.10
August-2010,846.00,883.40,829.70,843.85,4656158,86574,4014179340.00,2609507,56.04,53.70,-2.15
September-2010,844.00,1006.00,835.00,922.55,6040462,114311,5417253074.00,3153995,52.21,171.00,78.55
October-2010,928.80,1069.60,922.55,1051.80,6164277,144909,6100907655.00,1930081,31.31,147.05,123.00
November-2010,1053.00,1107.00,1002.00,1076.70,2676651,82569,2823005503.00,1073661,40.11,105.00,23.70
December-2010,1067.55,1179.00,1050.00,1165.05,3272889,98321,3658343918.00,1431222,43.73,129.00,97.50
January-2011,1165.00,1221.00,1087.30,1157.15,3987730,149256,4657145463.00,1207942,30.29,133.70,-7.85
February-2011,1157.20,1195.95,1056.10,1112.95,3916850,150460,4394532714.00,1071504,27.36,139.85,-44.25
March-2011,1119.00,1196.50,1058.25,1182.50,4325660,150045,4796223789.00,1570960,36.32,138.25,63.50
April-2011,1183.00,1247.00,1141.15,1163.60,6222585,234106,7448919090.00,1663323,26.73,105.85,-19.40
May-2011,1165.50,1183.80,1108.15,1158.80,2855679,109458,3263166557.00,1256120,43.99,75.65,-6.70
June-2011,1158.95,1202.85,1056.60,1180.35,2845829,117170,3256845803.00,1062104,37.32,146.25,21.40
July-2011,1185.05,1204.90,1113.65,1134.45,3212450,120126,3687058624.00,1090618,33.95,91.25,-50.60
August-2011,1138.10,1149.80,902.90,1040.60,6350253,214425,6384270415.00,2389753,37.63,246.90,-97.50
September-2011,1061.00,1073.00,970.00,1037.50,4802182,194649,4918383582.00,1200223,24.99,103.00,-23.50
October-2011,1024.95,1154.90,1015.00,1114.20,5402851,197774,5787353386.00,1812557,33.55,139.90,89.25
November-2011,1100.00,1156.00,1042.00,1113.10,2998121,123726,3298256300.00,996622,33.24,114.00,13.10
December-2011,1135.00,1196.70,1114.75,1161.25,3202346,142089,3735520384.00,1032990,32.26,81.95,26.25
January-2012,1155.15,1209.80,1047.00,1130.50,4252739,189675,4743067484.00,1261969,29.67,162.80,-24.65
February-2012,1130.00,1279.20,1108.20,1221.05,2601987,116563,3162315055.00,982488,37.76,171.00,91.05
March-2012,1221.05,1230.00,1112.00,1167.85,2180648,109558,2551721918.00,792421,36.34,118.00,-53.20
April-2012,1172.50,1250.00,1046.55,1244.90,4529463,196686,5243315751.00,1213882,26.80,203.45,72.40
May-2012,1245.00,1294.80,1195.25,1245.80,3992227,145557,4941483913.00,1808007,45.29,99.55,0.80
June-2012,1235.00,1287.00,1190.00,1277.55,2325029,71252,2883102892.00,1266294,54.46,97.00,42.55
July-2012,1278.00,1285.00,1175.50,1240.65,6050386,134706,7388883750.00,3860706,63.81,109.50,-37.35
August-2012,1240.00,1378.50,1218.10,1347.30,1930023,73720,2500778316.00,825395,42.77,160.40,107.30
September-2012,1347.30,1438.00,1261.10,1294.00,2414184,107028,3245228409.00,936891,38.81,176.90,-53.30
October-2012,1298.00,1334.90,1269.95,1313.40,1915665,84554,2499017692.00,547446,28.58,64.95,15.40
November-2012,1315.00,1348.00,1257.15,1312.85,1138805,50443,1490663590.00,508560,44.66,90.85,-2.15
December-2012,1315.00,1322.00,1197.60,1258.55,2364528,82810,2958208345.00,938493,39.69,124.40,-56.45
January-2013,1268.00,1400.00,1255.00,1342.75,3123421,135159,4150853590.00,1030112,32.98,145.00,74.75
February-2013,1341.95,1520.00,1341.00,1514.75,2978109,93395,4244962503.00,1851473,62.17,179.00,172.80
March-2013,1512.20,1598.00,1490.25,1571.80,1876234,71807,2921487985.00,836287,44.57,107.75,59.60
April-2013,1558.00,1575.00,1364.00,1376.25,3260032,146483,4756936770.00,1096667,33.64,211.00,-181.75
May-2013,1375.00,1528.10,1374.00,1499.60,2090831,90443,3080791444.00,858376,41.05,154.10,124.60
June-2013,1500.00,1544.75,1382.10,1518.40,1973093,106102,2897551172.00,659893,33.44,162.65,18.40
July-2013,1508.00,1830.10,1465.25,1815.10,3459215,198011,5814895987.00,1461578,42.25,364.85,307.10
August-2013,1810.00,2040.00,1691.00,2023.15,3152017,197901,5845968214.00,1347897,42.76,349.00,213.15
September-2013,2018.00,2075.85,1895.10,1926.70,2536159,143588,5017396078.00,1071961,42.27,180.75,-91.30
October-2013,1927.00,2258.05,1911.10,2108.25,3278043,245791,6893263960.00,865224,26.39,346.95,181.25
November-2013,2110.00,2148.00,1970.10,2004.60,1490123,119722,3060506655.00,422677,28.37,177.90,-105.40
December-2013,2001.00,2183.30,1960.00,2170.95,2052348,124238,4240940830.00,782175,38.11,223.30,169.95
January-2014,2180.00,2384.20,2150.00,2236.20,2778322,211908,6292049948.00,920013,33.11,234.20,56.20
February-2014,2227.00,2277.00,2088.00,2272.80,1485563,117116,3219374936.00,525904,35.40,189.00,45.80
March-2014,2270.00,2296.90,2014.70,2128.25,3348870,164069,7157924698.00,1840590,54.96,282.20,-141.75
April-2014,2145.00,2270.00,2101.15,2189.40,1874192,194375,4093368788.00,672724,35.89,168.85,44.40
May-2014,2194.00,2253.65,2000.50,2144.20,3019206,210620,6494912099.00,1623806,53.78,253.15,-49.80
June-2014,2147.00,2427.00,2062.50,2419.45,2058687,190725,4571117481.00,674951,32.79,364.50,272.45
July-2014,2415.00,2613.35,2336.00,2577.30,1413667,178792,3494188408.00,348606,24.66,277.35,162.30
August-2014,2577.00,2588.00,2425.95,2524.60,1342004,144443,3341343394.00,530962,39.56,162.05,-52.40
September-2014,2525.00,2780.00,2515.00,2738.20,1523230,159205,4040513891.00,618002,40.57,265.00,213.20
October-2014,2749.00,2834.00,2415.65,2604.55,2510523,252007,6447161904.00,1076291,42.87,418.35,-144.45
November-2014,2645.00,2688.00,2551.00,2643.10,980896,144542,2553912388.00,376686,38.40,137.00,-1.90
December-2014,2643.00,2709.00,2348.25,2554.70,1253975,181739,3148813465.00,449156,35.82,360.75,-88.30
January-2015,2554.35,2599.05,2407.40,2481.00,2486487,207767,6255326910.00,1464377,58.89,191.65,-73.35
February-2015,2482.10,2727.00,2436.00,2675.30,1611720,200168,4158669890.00,586485,36.39,291.00,193.20
March-2015,2675.10,2810.00,2501.65,2547.05,1423069,199773,3736563832.00,447879,31.47,308.35,-128.05
April-2015,2565.00,2712.00,2402.00,2466.65,2452454,217528,6134339020.00,750624,30.61,310.00,-98.35
May-2015,2482.00,2646.95,2456.60,2610.60,2734559,128164,6908024564.00,1996279,73.00,190.35,128.60
June-2015,2610.25,2644.85,2477.00,2552.20,1116353,79795,2863794646.00,439177,39.34,167.85,-58.05
July-2015,2565.00,2646.65,2455.00,2510.00,1463153,113272,3707093157.00,594062,40.60,191.65,-55.00
August-2015,2509.90,2750.95,2485.80,2565.25,1095999,89269,2877889840.00,373202,34.05,265.15,55.35
September-2015,2567.00,2641.80,2493.90,2587.70,988569,71146,2530268671.00,442601,44.77,147.90,20.70
October-2015,2600.00,2769.00,2458.00,2497.30,1945200,127910,4954038097.00,933021,47.97,311.00,-102.70
November-2015,2497.00,2551.00,2333.00,2365.25,1240003,80626,3002038586.00,595947,48.06,218.00,-131.75
December-2015,2365.00,2464.50,2316.65,2439.20,1540410,85381,3677615778.00,788746,51.20,147.85,74.20
January-2016,2432.10,2436.35,2243.75,2391.20,1609051,100410,3718738226.00,777884,48.34,192.60,-40.90
February-2016,2392.00,2439.95,2119.00,2181.90,2318321,86524,5272622193.00,1675572,72.28,320.95,-210.10
March-2016,2182.50,2534.00,2163.50,2516.05,1087795,75429,2602677986.00,523538,48.13,370.50,333.55
April-2016,2505.05,2553.15,2404.95,2530.05,1744830,111777,4337151080.00,672762,38.56,148.20,25.00
May-2016,2530.05,2645.45,2432.00,2575.10,1263930,88646,3191311515.00,632351,50.03,213.45,45.05
June-2016,2577.90,2675.45,2455.00,2550.80,1303910,96187,3346796213.00,553475,42.45,220.45,-27.10
July-2016,2553.10,2632.00,2404.50,2618.55,1382846,114131,3444047578.00,495486,35.83,227.50,65.45
August-2016,2620.00,2740.00,2471.15,2512.55,1211478,72569,3198562213.00,558242,46.08,268.85,-107.45
September-2016,2529.00,2544.00,2287.00,2427.20,3997517,110720,9601488745.00,2962736,74.11,257.00,-101.80
October-2016,2440.00,2455.00,2298.85,2394.60,2096477,67645,4998977854.00,1402439,66.90,156.15,-45.40
November-2016,2394.00,2394.60,2054.70,2276.75,3258480,95325,7255677577.00,2213485,67.93,339.90,-117.25
December-2016,2290.00,2375.90,2151.00,2361.95,1180000,72142,2651828241.00,509294,43.16,224.90,71.95
January-2017,2365.00,2387.00,2206.55,2229.90,2200387,107088,5043979523.00,1096678,49.84,180.45,-135.10
February-2017,2224.35,2555.00,2154.30,2466.50,2671385,125884,6291895261.00,1284101,48.07,400.70,242.15
March-2017,2484.00,2584.00,2407.00,2431.10,1999462,75494,4994081705.00,1283129,64.17,177.00,-52.90
April-2017,2435.00,2448.00,2255.00,2272.10,1278563,62804,2980033944.00,551803,43.16,193.00,-162.90
May-2017,2297.00,2636.00,2271.45,2544.35,3292804,99267,8080775340.00,2322528,70.53,364.55,247.35
June-2017,2530.00,2707.40,2325.00,2364.35,2326625,96957,5809139477.00,1255028,53.94,382.40,-165.65
July-2017,2364.00,2583.70,2325.00,2494.05,1838875,96736,4475217091.00,794158,43.19,258.70,130.05
August-2017,2494.05,2547.00,2458.00,2496.75,1244780,33919,3100340936.00,642794,51.64,89.00,2.70
September-2017,2475.00,2539.70,2420.65,2437.00,1161151,32062,2882296601.00,709518,61.10,119.05,-38.00
October-2017,2435.00,2634.90,2425.00,2616.30,1354562,34100,3394131091.00,877854,64.81,209.90,181.30
November-2017,2622.00,2774.00,2581.10,2634.25,794965,41073,2145458619.00,277293,34.88,192.90,12.25
December-2017,2637.00,2711.70,2496.90,2700.40,812149,41086,2119940017.00,281227,34.63,214.80,63.40
January-2018,2689.80,3254.80,2622.70,3111.75,2171549,87343,6505736833.00,818486,37.69,632.10,421.95
February-2018,3120.00,3190.00,2894.25,3038.25,4953941,90590,14947932926.00,3795362,76.61,295.75,-81.75
March-2018,3041.00,3133.00,2782.30,2849.30,3808377,108150,11067672023.00,932579,24.49,350.70,-191.70
April-2018,2845.00,3560.00,2845.00,3531.40,3783069,155554,12353654148.00,1487518,39.32,715.00,686.40
May-2018,3533.00,3674.00,1726.10,1744.80,1755361,90867,5866401691.00,391169,22.28,1947.90,-1788.20
June-2018,1758.00,1886.20,1712.90,1847.20,7164804,199349,12988174444.00,3971682,55.43,173.30,89.20
July-2018,1829.95,2012.00,1829.95,1941.25,5412053,196104,10529888879.00,2673577,49.40,182.05,111.30
August-2018,1951.00,2090.50,1941.00,2078.20,2809851,114656,5664558777.00,1471330,52.36,149.50,127.20
September-2018,2080.05,2214.15,2018.85,2184.50,2134177,103531,4494379185.00,938226,43.96,195.30,104.45
October-2018,2186.00,2273.00,1784.00,1937.60,6009839,182965,12087389910.00,3122597,51.96,489.00,-248.40
November-2018,1940.10,2000.00,1787.00,1970.60,3600207,108475,6826796248.00,1710121,47.50,213.00,30.50
December-2018,1980.10,2028.40,1872.00,1893.55,2776094,96850,5458354670.00,739922,26.65,156.40,-86.55
January-2019,1905.00,2019.50,1809.55,2014.60,3463170,154517,6556309698.00,1053535,30.42,209.95,109.60
February-2019,2005.00,2097.80,1882.00,1984.25,3664344,103471,7417931701.00,1837759,50.15,215.80,-20.75
March-2019,1990.00,2069.00,1959.00,2000.40,2582161,99920,5182547730.00,1068476,41.38,110.00,10.40
April-2019,2010.00,2265.00,2006.00,2254.95,3232471,123855,6756853223.00,1264260,39.11,259.00,244.95
May-2019,2260.00,2260.00,2034.00,2196.85,2859620,127698,6059516292.00,1073457,37.54,226.00,-63.15
June-2019,2207.80,2290.65,2145.20,2227.25,2060686,87737,4608906982.00,875850,42.50,145.45,19.45
July-2019,2239.65,2259.90,2060.00,2205.40,4300813,137400,9191159345.00,2414546,56.14,199.90,-34.25
August-2019,2206.00,2280.85,2145.90,2258.05,2088400,88153,4619932264.00,945974,45.30,134.95,52.05
September-2019,2259.00,2296.00,1975.00,2099.20,2349328,157571,4924039553.00,824742,35.11,321.00,-159.80
October-2019,2099.50,2285.50,1929.00,2270.20,2513926,130634,5180661945.00,1099857,43.75,356.50,170.70
November-2019,2270.00,2274.20,2036.00,2052.70,2341916,113669,4996417739.00,1206970,51.54,238.20,-217.30
December-2019,2060.00,2246.15,1983.85,2161.30,3728749,159352,7794903913.00,1562128,41.89,262.30,101.30
January-2020,2170.00,2259.95,2072.40,2079.30,2460473,140228,5388774748.00,1277544,51.92,187.55,-90.70
February-2020,2080.00,2228.85,1990.40,2000.95,2264640,132209,4857193242.00,1183855,52.28,238.45,-79.05
March-2020,2025.10,2147.00,1504.40,1823.05,5405600,290319,9759732323.00,1751945,32.41,642.60,-202.05
April-2020,1830.00,2030.00,1650.00,2014.85,2933547,212160,5260247369.00,756577,25.79,380.00,184.85
May-2020,1960.00,2030.00,1867.00,1971.55,2336179,135008,4547481020.00,1110029,47.51,163.00,11.55
June-2020,1995.00,2132.05,1982.00,2082.20,5655678,217755,11582114199.00,2777613,49.11,150.05,87.20
July-2020,2085.05,2357.15,2081.55,2282.45,4563262,226138,10146005474.00,1894592,41.52,275.60,197.40
August-2020,2299.00,2327.00,2217.05,2256.35,2141484,115721,4847364534.00,846111,39.51,109.95,-42.65
September-2020,2265.00,2554.00,2241.50,2491.50,4232712,229515,10197616357.00,1908572,45.09,312.50,226.50
October-2020,2509.80,2885.00,2492.00,2664.85,4370785,256880,11967860474.00,1544207,35.33,393.00,155.05
November-2020,2665.00,2743.80,2600.00,2679.15,2612896,200156,6994237162.00,1176947,45.04,143.80,14.15
December-2020,2680.00,2951.90,2625.10,2870.20,3035676,140687,8592799494.00,1716808,56.55,326.80,190.20
January-2021,2879.00,3345.25,2877.30,3112.90,6356022,232735,20373188900.00,2324534,36.57,467.95,233.90
February-2021,3104.00,3245.80,2701.00,2896.05,3780459,270284,11552775065.00,1942524,51.38,544.80,-207.95
March-2021,2930.00,3205.00,2900.00,3177.60,3093672,203797,9507453071.00,1396683,45.15,305.00,247.60
April-2021,3190.00,3358.80,3021.00,3038.40,3377869,178939,10705294616.00,2113445,62.57,337.80,-151.60
May-2021,3034.70,3218.00,3004.80,3158.95,1487104,130897,4615004140.00,690427,46.43,213.20,124.25
June-2021,3170.00,3399.00,3116.15,3345.25,4147717,142109,13633110066.00,3248170,78.31,282.85,175.25
July-2021,3359.00,3373.90,3133.20,3167.50,2894265,183728,9318424480.00,1893873,65.44,240.70,-191.50
August-2021,3173.55,3802.95,3166.05,3786.55,2377544,174924,8242939348.00,1338976,56.32,636.90,613.00
September-2021,3790.00,3981.55,3706.00,3774.50,2614393,139109,10043836526.00,1788171,68.40,275.55,-15.50
October-2021,3779.00,3990.00,3386.00,3398.80,4697020,376691,17342062319.00,3400165,72.39,604.00,-380.20
November-2021,3438.00,3575.00,3407.55,3532.00,1732795,180545,6051970555.00,1003764,57.93,167.45,94.00
December-2021,3535.15,3759.80,3509.85,3736.85,2013929,203808,7295997907.00,1203991,59.78,249.95,201.70
January-2022,3744.00,4045.50,3626.25,3737.90,4059762,555652,15590461228.00,2624623,64.65,419.25,-6.10
February-2022,3780.00,3882.95,3392.05,3554.55,4193160,602936,15510032677.00,2401978,57.28,490.90,-225.45
March-2022,3560.10,3685.00,3351.00,3654.25,1333522,156146,4764180802.00,644992,48.37,334.00,94.15
